就自付差額項目,資料年月,縣市別,特約類別,醫事機構代碼,醫事機構名稱,自付差額數量占率,同儕平均值
人工水晶體,202107,臺南市,區域醫院,1141090512,奇美醫療財團法人柳營奇美醫院,39.3,49.4
人工水晶體,202107,臺南市,區域醫院,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,50.0,49.4
人工水晶體,202107,臺東縣,區域醫院,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,11.1,49.4
人工水晶體,202107,花蓮縣,區域醫院,0545040515,國軍花蓮總醫院附設民眾診療服務處,0.0,49.4
人工水晶體,202107,花蓮縣,區域醫院,1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,36.6,49.4
人工水晶體,202107,苗栗縣,區域醫院,0135010016,衛生福利部苗栗醫院,25.0,49.4
人工水晶體,202107,雲林縣,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,73.1,49.4
人工水晶體,202107,雲林縣,區域醫院,1339060017,中國醫藥大學北港附設醫院,71.4,49.4
人工水晶體,202107,高雄市,區域醫院,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,58.3,49.4
人工水晶體,202107,高雄市,區域醫院,0902080013,阮綜合醫療社團法人阮綜合醫院,100.0,49.4
人工水晶體,202107,高雄市,區域醫院,1102110011,高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,50.0,49.4
人工水晶體,202107,高雄市,區域醫院,1142120001,義大醫療財團法人義大醫院,65.4,49.4
人工心律調節器,202107,南投縣,區域醫院,1138020015,埔基醫療財團法人埔里基督教醫院,25.0,52.4
人工心律調節器,202107,嘉義市,區域醫院,0622020017,臺中榮民總醫院嘉義分院,0.0,52.4
人工心律調節器,202107,嘉義市,區域醫院,1122010012,戴德森醫療財團法人嘉義基督教醫院,50.0,52.4
人工心律調節器,202107,臺北市,區域醫院,0101090517,臺北市立聯合醫院,14.3,52.4
人工心律調節器,202107,臺北市,區域醫院,1101010021,基督復臨安息日會醫療財團法人臺安醫院,100.0,52.4
人工心律調節器,202107,臺北市,區域醫院,1101160017,振興醫療財團法人振興醫院,53.3,52.4
人工心律調節器,202107,臺北市,區域醫院,1301170017,臺北醫學大學附設醫院,71.4,52.4
人工心律調節器,202107,臺南市,區域醫院,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),66.7,52.4
人工心律調節器,202107,臺南市,區域醫院,1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,33.3,52.4
人工心律調節器,202107,臺南市,區域醫院,1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,25.0,52.4
人工心律調節器,202107,臺南市,區域醫院,1141090512,奇美醫療財團法人柳營奇美醫院,40.0,52.4
人工心律調節器,202107,臺南市,區域醫院,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,100.0,52.4
人工心律調節器,202107,臺東縣,區域醫院,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,40.0,52.4
人工心律調節器,202107,花蓮縣,區域醫院,1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,50.0,52.4
人工心律調節器,202107,苗栗縣,區域醫院,1135050020,為恭醫療財團法人為恭紀念醫院,100.0,52.4
人工心律調節器,202107,雲林縣,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,33.3,52.4
人工心律調節器,202107,雲林縣,區域醫院,1339060017,中國醫藥大學北港附設醫院,0.0,52.4
人工心律調節器,202107,高雄市,區域醫院,0102020011,高雄市立聯合醫院,50.0,52.4
人工心律調節器,202107,高雄市,區域醫院,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,33.3,52.4
人工心律調節器,202107,高雄市,區域醫院,0502080015,國軍高雄總醫院附設民眾診療服務處,0.0,52.4
人工心律調節器,202107,高雄市,區域醫院,0902080013,阮綜合醫療社團法人阮綜合醫院,33.3,52.4
人工心律調節器,202107,高雄市,區域醫院,1102110011,高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,100.0,52.4
人工心律調節器,202107,高雄市,區域醫院,1142120001,義大醫療財團法人義大醫院,16.7,52.4
人工髖關節,202107,南投縣,區域醫院,0138010027,衛生福利部南投醫院,20.0,73.8
人工髖關節,202107,南投縣,區域醫院,1138020015,埔基醫療財團法人埔里基督教醫院,100.0,73.8
人工髖關節,202107,嘉義市,區域醫院,0622020017,臺中榮民總醫院嘉義分院,50.0,73.8
人工髖關節,202107,嘉義市,區域醫院,1122010012,戴德森醫療財團法人嘉義基督教醫院,31.2,73.8
人工髖關節,202107,嘉義市,區域醫院,1122010021,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,28.6,73.8
人工髖關節,202107,嘉義縣,區域醫院,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,24.4,73.8
人工髖關節,202107,嘉義縣,區域醫院,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,30.0,73.8
人工髖關節,202107,基隆市,區域醫院,0111070010,衛生福利部基隆醫院,13.3,73.8
人工髖關節,202107,基隆市,區域醫院,1111060015,長庚醫療財團法人基隆長庚紀念醫院,19.0,73.8
人工髖關節,202107,宜蘭縣,區域醫院,0434010518,國立陽明交通大學附設醫院,21.1,73.8
人工髖關節,202107,宜蘭縣,區域醫院,1134020019,醫療財團法人羅許基金會羅東博愛醫院,0.0,73.8
人工髖關節,202107,宜蘭縣,區域醫院,1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,50.0,73.8
人工髖關節,202107,屏東縣,區域醫院,0143010011,衛生福利部屏東醫院,0.0,73.8
人工髖關節,202107,屏東縣,區域醫院,0943010017,寶建醫療社團法人寶建醫院,33.3,73.8
人工髖關節,202107,屏東縣,區域醫院,0943030019,安泰醫療社團法人安泰醫院,16.7,73.8
人工髖關節,202107,屏東縣,區域醫院,1143010012,屏基醫療財團法人屏東基督教醫院,15.4,73.8
人工髖關節,202107,屏東縣,區域醫院,1343030018,輔英科技大學附設醫院,75.0,73.8
人工髖關節,202107,屏東縣,區域醫院,1543010109,國仁醫院,0.0,73.8
人工髖關節,202107,彰化縣,區域醫院,0137170515,衛生福利部彰化醫院,0.0,73.8
人工髖關節,202107,彰化縣,區域醫院,0937010019,秀傳醫療社團法人秀傳紀念醫院,16.7,73.8
人工髖關節,202107,彰化縣,區域醫院,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,0.0,73.8
人工髖關節,202107,新北市,區域醫院,0131060029,衛生福利部臺北醫院,45.5,73.8
人工髖關節,202107,新北市,區域醫院,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,6.7,73.8
人工髖關節,202107,新北市,區域醫院,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,25.0,73.8
人工髖關節,202107,新北市,區域醫院,1131110516,國泰醫療財團法人汐止國泰綜合醫院,0.0,73.8
人工髖關節,202107,新北市,區域醫院,1231050017,天主教耕莘醫療財團法人耕莘醫院,10.0,73.8
人工髖關節,202107,新北市,區域醫院,1331040513,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,55.6,73.8
人工髖關節,202107,新竹市,區域醫院,0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,33.3,73.8
人工髖關節,202107,新竹市,區域醫院,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,40.0,73.8
人工髖關節,202107,新竹縣,區域醫院,0933050018,東元醫療社團法人東元綜合醫院,0.0,73.8
人工髖關節,202107,桃園市,區域醫院,0132010014,衛生福利部桃園醫院,16.7,73.8
人工髖關節,202107,桃園市,區域醫院,0532090029,國軍桃園總醫院附設民眾診療服務處,0.0,73.8
人工髖關節,202107,桃園市,區域醫院,0632010014,臺北榮民總醫院桃園分院,0.0,73.8
人工髖關節,202107,桃園市,區域醫院,0932020025,天成醫療社團法人天晟醫院,12.5,73.8
人工髖關節,202107,桃園市,區域醫院,1132010024,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,22.2,73.8
人工髖關節,202107,桃園市,區域醫院,1532011154,敏盛綜合醫院,0.0,73.8
人工髖關節,202107,桃園市,區域醫院,1532100049,聯新國際醫院,15.0,73.8
人工髖關節,202107,臺中市,區域醫院,0117030010,衛生福利部臺中醫院,50.0,73.8
人工髖關節,202107,臺中市,區域醫院,0136010010,衛生福利部豐原醫院,23.1,73.8
人工髖關節,202107,臺中市,區域醫院,0536190011,國軍台中總醫院附設民眾診療服務處,25.0,73.8
人工髖關節,202107,臺中市,區域醫院,0917070029,林新醫療社團法人林新醫院,33.3,73.8
人工髖關節,202107,臺中市,區域醫院,0936030018,李綜合醫療社團法人大甲李綜合醫院,25.0,73.8
人工髖關節,202107,臺中市,區域醫院,0936050029,光田醫療社團法人光田綜合醫院,27.3,73.8
人工髖關節,202107,臺中市,區域醫院,0936060016,童綜合醫療社團法人童綜合醫院,59.3,73.8
人工髖關節,202107,臺中市,區域醫院,1136090519,佛教慈濟醫療財團法人台中慈濟醫院,50.0,73.8
人工髖關節,202107,臺中市,區域醫院,1136200015,仁愛醫療財團法人大里仁愛醫院,71.4,73.8
人工髖關節,202107,臺中市,區域醫院,1517061032,澄清綜合醫院中港分院,20.0,73.8
人工髖關節,202107,臺北市,區域醫院,0101090517,臺北市立聯合醫院,16.7,73.8
人工髖關節,202107,臺北市,區域醫院,1101010021,基督復臨安息日會醫療財團法人臺安醫院,25.0,73.8
人工髖關節,202107,臺北市,區域醫院,1101160017,振興醫療財團法人振興醫院,42.9,73.8
人工髖關節,202107,臺北市,區域醫院,1301170017,臺北醫學大學附設醫院,36.4,73.8
人工髖關節,202107,臺南市,區域醫院,0121050011,衛生福利部臺南醫院,20.0,73.8
人工髖關節,202107,臺南市,區域醫院,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),50.0,73.8
人工髖關節,202107,臺南市,區域醫院,1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,40.0,73.8
人工髖關節,202107,臺南市,區域醫院,1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,11.1,73.8
人工髖關節,202107,臺南市,區域醫院,1141090512,奇美醫療財團法人柳營奇美醫院,33.3,73.8
人工髖關節,202107,臺南市,區域醫院,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,8.3,73.8
人工髖關節,202107,臺東縣,區域醫院,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,50.0,73.8
人工髖關節,202107,花蓮縣,區域醫院,0545040515,國軍花蓮總醫院附設民眾診療服務處,0.0,73.8
人工髖關節,202107,花蓮縣,區域醫院,1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,50.0,73.8
人工髖關節,202107,苗栗縣,區域醫院,0135010016,衛生福利部苗栗醫院,28.6,73.8
人工髖關節,202107,苗栗縣,區域醫院,1135050020,為恭醫療財團法人為恭紀念醫院,0.0,73.8
人工髖關節,202107,雲林縣,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,35.7,73.8
人工髖關節,202107,雲林縣,區域醫院,1339060017,中國醫藥大學北港附設醫院,0.0,73.8
人工髖關節,202107,高雄市,區域醫院,0102020011,高雄市立聯合醫院,0.0,73.8
人工髖關節,202107,高雄市,區域醫院,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,45.0,73.8
人工髖關節,202107,高雄市,區域醫院,0502030015,國軍高雄總醫院左營分院附設民眾診療服務處,0.0,73.8
人工髖關節,202107,高雄市,區域醫院,0502080015,國軍高雄總醫院附設民眾診療服務處,6.7,73.8
人工髖關節,202107,高雄市,區域醫院,0902080013,阮綜合醫療社團法人阮綜合醫院,0.0,73.8
人工髖關節,202107,高雄市,區域醫院,1102110011,高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,66.7,73.8
人工髖關節,202107,高雄市,區域醫院,1142120001,義大醫療財團法人義大醫院,40.0,73.8
生物組織心臟瓣膜,202107,嘉義縣,區域醫院,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,100.0,58.3
生物組織心臟瓣膜,202107,宜蘭縣,區域醫院,1134020019,醫療財團法人羅許基金會羅東博愛醫院,0.0,58.3
生物組織心臟瓣膜,202107,屏東縣,區域醫院,1143010012,屏基醫療財團法人屏東基督教醫院,0.0,58.3
生物組織心臟瓣膜,202107,彰化縣,區域醫院,0937010019,秀傳醫療社團法人秀傳紀念醫院,50.0,58.3
生物組織心臟瓣膜,202107,新北市,區域醫院,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,50.0,58.3
生物組織心臟瓣膜,202107,新北市,區域醫院,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,0.0,58.3
生物組織心臟瓣膜,202107,新北市,區域醫院,1231050017,天主教耕莘醫療財團法人耕莘醫院,0.0,58.3
生物組織心臟瓣膜,202107,新竹市,區域醫院,0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,100.0,58.3
生物組織心臟瓣膜,202107,桃園市,區域醫院,0132010014,衛生福利部桃園醫院,100.0,58.3
生物組織心臟瓣膜,202107,臺中市,區域醫院,0917070029,林新醫療社團法人林新醫院,0.0,58.3
生物組織心臟瓣膜,202107,臺中市,區域醫院,0936060016,童綜合醫療社團法人童綜合醫院,25.0,58.3
生物組織心臟瓣膜,202107,臺中市,區域醫院,1136090519,佛教慈濟醫療財團法人台中慈濟醫院,0.0,58.3
生物組織心臟瓣膜,202107,臺北市,區域醫院,1101160017,振興醫療財團法人振興醫院,56.2,58.3
生物組織心臟瓣膜,202107,臺南市,區域醫院,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),100.0,58.3
生物組織心臟瓣膜,202107,臺南市,區域醫院,1141090512,奇美醫療財團法人柳營奇美醫院,0.0,58.3
生物組織心臟瓣膜,202107,臺南市,區域醫院,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,0.0,58.3
生物組織心臟瓣膜,202107,臺東縣,區域醫院,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,0.0,58.3
生物組織心臟瓣膜,202107,雲林縣,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,50.0,58.3
生物組織心臟瓣膜,202107,高雄市,區域醫院,1142120001,義大醫療財團法人義大醫院,0.0,58.3
調控式腦室腹腔引流系統,202107,南投縣,區域醫院,0138010027,衛生福利部南投醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,嘉義市,區域醫院,0622020017,臺中榮民總醫院嘉義分院,66.7,15.0
調控式腦室腹腔引流系統,202107,嘉義市,區域醫院,1122010012,戴德森醫療財團法人嘉義基督教醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,嘉義縣,區域醫院,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,嘉義縣,區域醫院,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,基隆市,區域醫院,1111060015,長庚醫療財團法人基隆長庚紀念醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,宜蘭縣,區域醫院,0434010518,國立陽明交通大學附設醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,宜蘭縣,區域醫院,1134020019,醫療財團法人羅許基金會羅東博愛醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,宜蘭縣,區域醫院,1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,屏東縣,區域醫院,1143010012,屏基醫療財團法人屏東基督教醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,彰化縣,區域醫院,0137170515,衛生福利部彰化醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,彰化縣,區域醫院,0937010019,秀傳醫療社團法人秀傳紀念醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,新北市,區域醫院,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,新北市,區域醫院,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,新北市,區域醫院,1131110516,國泰醫療財團法人汐止國泰綜合醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,新北市,區域醫院,1331040513,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,100.0,15.0
調控式腦室腹腔引流系統,202107,新竹市,區域醫院,0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,50.0,15.0
調控式腦室腹腔引流系統,202107,新竹市,區域醫院,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,桃園市,區域醫院,0532090029,國軍桃園總醫院附設民眾診療服務處,100.0,15.0
調控式腦室腹腔引流系統,202107,桃園市,區域醫院,0932020025,天成醫療社團法人天晟醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,桃園市,區域醫院,1532011154,敏盛綜合醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,桃園市,區域醫院,1532100049,聯新國際醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,臺中市,區域醫院,0936050029,光田醫療社團法人光田綜合醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,臺中市,區域醫院,0936060016,童綜合醫療社團法人童綜合醫院,25.0,15.0
調控式腦室腹腔引流系統,202107,臺中市,區域醫院,1136200015,仁愛醫療財團法人大里仁愛醫院,50.0,15.0
調控式腦室腹腔引流系統,202107,臺中市,區域醫院,1517061032,澄清綜合醫院中港分院,100.0,15.0
調控式腦室腹腔引流系統,202107,臺北市,區域醫院,1101160017,振興醫療財團法人振興醫院,100.0,15.0
調控式腦室腹腔引流系統,202107,臺南市,區域醫院,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),100.0,15.0
調控式腦室腹腔引流系統,202107,臺南市,區域醫院,1141090512,奇美醫療財團法人柳營奇美醫院,50.0,15.0
調控式腦室腹腔引流系統,202107,臺南市,區域醫院,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,75.0,15.0
調控式腦室腹腔引流系統,202107,臺東縣,區域醫院,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,50.0,15.0
調控式腦室腹腔引流系統,202107,雲林縣,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,100.0,15.0
調控式腦室腹腔引流系統,202107,雲林縣,區域醫院,1339060017,中國醫藥大學北港附設醫院,50.0,15.0
調控式腦室腹腔引流系統,202107,高雄市,區域醫院,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,100.0,15.0
調控式腦室腹腔引流系統,202107,高雄市,區域醫院,0502080015,國軍高雄總醫院附設民眾診療服務處,100.0,15.0
調控式腦室腹腔引流系統,202107,高雄市,區域醫院,1102110011,高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,100.0,15.0
調控式腦室腹腔引流系統,202107,高雄市,區域醫院,1142120001,義大醫療財團法人義大醫院,50.0,15.0
治療淺股動脈狹窄之塗藥裝置,202107,嘉義市,區域醫院,1122010012,戴德森醫療財團法人嘉義基督教醫院,100.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,嘉義縣,區域醫院,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,嘉義縣,區域醫院,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,基隆市,區域醫院,1111060015,長庚醫療財團法人基隆長庚紀念醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,宜蘭縣,區域醫院,0434010518,國立陽明交通大學附設醫院,100.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,宜蘭縣,區域醫院,1134020019,醫療財團法人羅許基金會羅東博愛醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,屏東縣,區域醫院,0143010011,衛生福利部屏東醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,屏東縣,區域醫院,1143010012,屏基醫療財團法人屏東基督教醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,彰化縣,區域醫院,0937010019,秀傳醫療社團法人秀傳紀念醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,新北市,區域醫院,0131060029,衛生福利部臺北醫院,20.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,新北市,區域醫院,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,100.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,新北市,區域醫院,1131110516,國泰醫療財團法人汐止國泰綜合醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,新北市,區域醫院,1231050017,天主教耕莘醫療財團法人耕莘醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,新竹市,區域醫院,0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,0.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,桃園市,區域醫院,0132010014,衛生福利部桃園醫院,50.0,76.7
治療淺股動脈狹窄之塗藥裝置,202107,桃園市,區域醫院,0932020025,天成醫療社團法人天晟醫院,0.0,76.7
